title,genre,year,description
The Shawshank Redemption,Drama,1994,Dos hombres encarcelados forjan una amistad a lo largo de los años encontrando consuelo y redención.
The Godfather,"Crime, Drama",1972,El patriarca de una dinastía del crimen organizado transfiere el control a su reticente hijo.
The Dark Knight,"Action, Crime",2008,"Batman enfrenta al Joker, un criminal que siembra el caos en la ciudad de Gotham."
Pulp Fiction,"Crime, Drama",1994,"Las vidas de dos sicarios, un boxeador y una pareja de ladrones se entrelazan en cuatro relatos."
Forrest Gump,"Drama, Romance",1994,La vida de un hombre de buen corazón cuya inocencia lo lleva a presenciar momentos históricos.
Inception,"Sci-Fi, Action",2010,Un ladrón que roba secretos del subconsciente recibe la tarea inversa de implantar una idea.
The Matrix,"Sci-Fi, Action",1999,Un hacker descubre que la realidad es una simulación y se une a la rebelión contra las máquinas.
Goodfellas,"Crime, Drama",1990,El ascenso y caída de un joven dentro de la mafia italoamericana a lo largo de décadas.
Interstellar,"Sci-Fi, Adventure",2014,Un grupo de exploradores viaja a través de un agujero de gusano en busca de un nuevo hogar.
Fight Club,Drama,1999,Un oficinista insomne y un carismático vendedor de jabón fundan un club de peleas clandestino.
The Lord of the Rings,"Fantasy, Adventure",2001,Un hobbit emprende un viaje para destruir un anillo capaz de dominar toda la Tierra Media.
Gladiator,"Action, Drama",2000,Un general romano traicionado busca venganza contra el emperador que asesinó a su familia.
Titanic,"Romance, Drama",1997,Un romance florece a bordo del malogrado transatlántico en su fatídico viaje inaugural.
Jurassic Park,"Adventure, Sci-Fi",1993,Un parque temático con dinosaurios clonados se vuelve mortal cuando falla su seguridad.
The Lion King,"Animation, Adventure",1994,Un joven león debe reclamar su reino tras la muerte de su padre a manos de su tío.
Toy Story,"Animation, Comedy",1995,Los juguetes de un niño cobran vida y viven aventuras cuando los humanos no están presentes.
Finding Nemo,"Animation, Adventure",2003,Un tímido pez payaso cruza el océano para reencontrarse con su hijo perdido.
Spirited Away,"Animation, Fantasy",2001,Una niña queda atrapada en un mundo de espíritus y debe trabajar para liberar a sus padres.
The Avengers,"Action, Sci-Fi",2012,Un grupo de superhéroes se une para detener una invasión alienígena sobre la Tierra.
Avatar,"Sci-Fi, Adventure",2009,Un exmarine se infiltra en una luna alienígena y termina defendiendo a sus habitantes.
Django Unchained,"Drama, Western",2012,Un esclavo liberado se alía con un cazarrecompensas para rescatar a su esposa.
The Prestige,"Drama, Sci-Fi",2006,Dos magos rivales llevan su obsesión por superarse a consecuencias trágicas.
Whiplash,"Drama, Music",2014,Un joven baterista es empujado al límite por un despiadado instructor de jazz.
Parasite,"Drama, Thriller",2019,Una familia pobre se infiltra en el hogar de una familia adinerada con resultados imprevisibles.
Joker,"Crime, Drama",2019,Un comediante fracasado desciende a la locura y se convierte en un icono del caos.
Get Out,"Horror, Thriller",2017,Un joven descubre un perturbador secreto durante la visita a la familia de su novia.
A Quiet Place,"Horror, Sci-Fi",2018,Una familia sobrevive en silencio para no ser detectada por criaturas que cazan por el sonido.
The Conjuring,Horror,2013,Dos investigadores paranormales ayudan a una familia acosada por una presencia demoníaca.
It,Horror,2017,Un grupo de niños enfrenta a un ser maligno que se alimenta de sus peores miedos.
Mad Max: Fury Road,"Action, Adventure",2015,"En un desierto postapocalíptico, una rebelde huye de un tirano en una persecución brutal."
Deadpool,"Action, Comedy",2016,Un mercenario con humor ácido y poderes regenerativos busca venganza contra quien lo desfiguró.
Guardians of the Galaxy,"Action, Comedy",2014,Un grupo dispar de forajidos se une para evitar que un fanático destruya la galaxia.
The Grand Budapest Hotel,"Comedy, Drama",2014,Las aventuras de un legendario conserje y su joven aprendiz en un hotel europeo.
La La Land,"Romance, Music",2016,Un músico de jazz y una aspirante a actriz persiguen sus sueños en Los Ángeles.
Coco,"Animation, Adventure",2017,Un niño viaja a la Tierra de los Muertos para descubrir la verdad sobre su familia.
Up,"Animation, Adventure",2009,Un anciano viudo cumple el sueño de su vida atando miles de globos a su casa.
Inside Out,"Animation, Comedy",2015,Las emociones dentro de la mente de una niña luchan por guiarla en una etapa de cambios.
The Wolf of Wall Street,"Crime, Drama",2013,El ascenso y caída de un corredor de bolsa consumido por la ambición y el exceso.
No Country for Old Men,"Crime, Thriller",2007,Un hombre encuentra dinero de un narcotráfico y es perseguido por un sicario implacable.
Blade Runner 2049,"Sci-Fi, Drama",2017,Un joven replicante descubre un secreto que podría alterar el equilibrio de la sociedad.
Dune,"Sci-Fi, Adventure",2021,El heredero de una casa noble lucha por proteger un planeta desértico y su recurso más valioso.
Spider-Man: Into the Spider-Verse,"Animation, Action",2018,Un adolescente se convierte en Spider-Man y conoce a otras versiones de distintos universos.
Everything Everywhere All at Once,"Sci-Fi, Comedy",2022,Una mujer común descubre que debe conectar con vidas paralelas para salvar el multiverso.
1917,"War, Drama",2019,Dos soldados británicos cruzan territorio enemigo para entregar un mensaje que salvará vidas.
Knives Out,"Comedy, Crime",2019,Un detective investiga la muerte de un adinerado novelista rodeado de sospechosos.
The Batman,"Action, Crime",2022,Un joven Batman investiga una serie de asesinatos que exponen la corrupción de Gotham.
Oppenheimer,"Drama, History",2023,La historia del físico que lideró el desarrollo de la primera bomba atómica.
Top Gun: Maverick,"Action, Drama",2022,Un veterano piloto de combate entrena a una nueva generación para una misión imposible.
Shutter Island,"Thriller, Mystery",2010,Un agente investiga la desaparición de una paciente en un aislado hospital psiquiátrico.
The Departed,"Crime, Thriller",2006,Un policía infiltrado y un topo en la policía compiten por descubrirse mutuamente.
